ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742125::Definition,1075849176::Physical Name,1075849763::Parent Entity  [read only],1075849764::Child Entity  [read only]
1075839016::213,Movie is rented as MovieCopy,Relationship,,FK_Movie_MovieCopy,Movie,MovieCopy
1075839016::225,Employee reports to Employee,Relationship,,FK_Employee_Employee,Employee,Employee
1075839016::282,FK_Customer_CUSTOMER_INVOICE (Customer to CUSTOMER_INVOICE),Relationship,,FK_Customer_CUSTOMER_INVOICE,Customer,CUSTOMER_INVOICE
1075839016::291,FK_MovieRent_CUSTOMER_INVOICE (MovieRent to CUSTOMER_INVOICE),Relationship,,FK_MovieRent_CUSTOMER_INVOICE,MovieRent,CUSTOMER_INVOICE
1075839016::300,FK_Movie_OVERDUE_NOTICE (Movie to CUSTOMER_INVOICE),Relationship,,FK_Movie_OVERDUE_NOTICE,Movie,CUSTOMER_INVOICE
1075839016::307,FK_Customer_OVERDUE_NOTICE (Customer to OVERDUE_NOTICE),Relationship,,FK_Customer_OVERDUE_NOTICE,Customer,OVERDUE_NOTICE
1075839016::316,FK_MovieRent_CUSTOMER_NOTICE (MovieRent to OVERDUE_NOTICE),Relationship,,FK_MovieRent_CUSTOMER_NOTICE,MovieRent,OVERDUE_NOTICE
1075839016::353,Employee receives Payment,Relationship,,FK_Employee_Payment,Employee,Payment
1075839016::365,Payment is made on MovieRent,Relationship,,FK_Payment_MovieRent,Payment,MovieRent
1075839016::796,FK_State_City (State to City),Relationship,,FK_State_City,State,City
1075839016::800,FK_City_Address (City to Address),Relationship,,FK_City_Address,City,Address
1075839016::806,FK_Address_Customer (Address to Customer),Relationship,,FK_Address_Customer,Address,Customer
1075839016::892,FK_Movie_Actor (Movie to Actor),Relationship,,FK_Movie_Actor,Movie,Actor
1075839016::895,FK_Movie_Cast (Movie to Cast),Relationship,,FK_Movie_Cast,Movie,Cast
1075839016::900,FK_Actor_Cast (Actor to Cast),Relationship,,FK_Actor_Cast,Actor,Cast
1075839016::918,FK_Director_Movie (Director to Movie),Relationship,,FK_Director_Movie,Director,Movie
1075839016::923,FK_Store_MovieCopy (Store to MovieCopy),Relationship,,FK_Store_MovieCopy,Store,MovieCopy
1075839016::953,FK_MovieCopy_MovieRent (MovieCopy to MovieRent),Relationship,,FK_MovieCopy_MovieRent,MovieCopy,MovieRent
1075839016::965,FK_Address_Store (Address to Store),Relationship,,FK_Address_Store,Address,Store
1075839016::970,FK_Employee_Store (Employee to Store),Relationship,,FK_Employee_Store,Employee,Store
1075839016::978,FK_Address_Employee (Address to Employee),Relationship,,FK_Address_Employee,Address,Employee
1075839016::1082,Payment R/46 CreditCard,Relationship,,R_46,Payment,CreditCard
1075839016::1105,Payment R/47 Check,Relationship,,R_47,Payment,Check
1075839016::1122,Payment R/48 Epay,Relationship,,R_48,Payment,Epay
1075839016::1151,R/50 (Payment to Subscription),Relationship,,R_50,Payment,Subscription
1075839016::1156,R/51 (Customer to Payment),Relationship,,R_51,Customer,Payment
1075839016::1170,R/53 (Subscription to Movie),Relationship,,R_53,Subscription,Movie
